序號,GPS座標X,GPS座標Y,hour,is_morning_rush,is_night,is_weekend,month,time_period_daytime,time_period_evening_rush,time_period_late_night,time_period_morning_rush,time_period_night,weekday,事故位置_1,事故位置_8,事故位置_9,分向設施_1,分向設施_10,分向設施_5,區_北屯區,區_后里區,區_大雅區,區_東區,區_梧棲區,區_沙鹿區,區_潭子區,區_烏日區,區_西屯區,區_豐原區,區_龍井區,天候_5,快慢車道間_4,快慢車道間_5,快車道或一般車道間_4,快車道或一般車道間_5,號誌動作_4,號誌動作_缺失,號誌種類_3,號誌種類_4,號誌種類_缺失,路面狀態_4,路面狀態_5,路面邊線_1,路面邊線_2,道路型態_11,道路型態_13,道路型態_3,道路型態_4,道路型態_5,道路照明設備_1,道路照明設備_2,道路照明設備_3,道路速限,道路類別_6,Y_事故嚴重度,y_true,y_prob,prediction
8598,120.667303,24.114312,19,0,0,0,12,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,50.0,1,1,1,0.58629227,需人工確認
11324,120.698445,24.24891,15,0,0,0,10,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,50.0,1,1,1,0.2505839,非致命
8487,120.676768,24.146151,12,0,0,0,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,50.0,1,1,1,0.53995425,需人工確認
11881,120.671795,24.119154,13,0,0,1,11,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,50.0,1,0,0,0.4317025,需人工確認
8854,120.684916,24.137577,14,0,0,1,11,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,50.0,1,0,0,0.37670735,需人工確認
3625,120.615167,24.189313,19,0,0,0,12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,40.0,1,0,0,0.8125675,致命
2430,120.647789,24.181822,8,1,0,0,11,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,50.0,1,1,1,0.29803938,非致命
1813,120.657183,24.134215,17,0,0,0,12,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50.0,1,1,1,0.4888725,需人工確認
6,120.63393,24.167203,2,0,1,0,10,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50.0,1,1,1,0.8705714,致命
5538,120.639846,24.160439,22,0,1,0,11,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,50.0,1,0,0,0.53381455,需人工確認
11948,120.658839,24.140149,8,1,0,0,10,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,50.0,1,1,1,0.19940533,非致命
8071,120.555226,24.281707,19,0,0,0,11,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,50.0,1,0,0,0.123695396,非致命
12112,120.650005,24.132045,0,0,1,1,11,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50.0,1,0,0,0.7861589,致命
9694,120.701002,24.157154,13,0,0,1,10,1,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,40.0,1,0,0,0.95961016,致命
9634,120.57952,24.224372,15,0,0,0,11,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,30.0,1,1,1,0.7415765,致命
10954,120.668651,24.131597,15,0,0,0,11,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,50.0,1,0,0,0.43999627,需人工確認
3916,120.545208,24.148959,13,0,0,0,12,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,30.0,1,0,0,0.35730627,需人工確認
7195,120.637491,24.177619,0,0,1,0,11,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50.0,1,0,0,0.953025,致命
5993,120.616394,24.153226,13,0,0,0,10,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,50.0,1,0,0,0.61238885,需人工確認
11281,120.660196,24.144327,10,0,0,0,12,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,50.0,1,0,0,0.14939037,非致命
9661,120.604129,24.223548,16,0,0,0,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,30.0,1,1,1,0.45934385,需人工確認
8247,120.638224,24.139853,9,1,0,0,11,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,50.0,1,0,0,0.5887101,需人工確認
5486,120.653534,24.168382,16,0,0,0,12,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,40.0,1,1,1,0.62400335,需人工確認
3614,120.656134,24.131388,1,0,1,0,10,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,30.0,1,0,0,0.9200187,致命
3229,120.701513,24.084455,7,1,0,0,10,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,50.0,1,0,0,0.7259806,致命
1108,120.682583,24.153366,8,1,0,0,12,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,50.0,1,0,0,0.4616543,需人工確認
1458,120.699023,24.182969,19,0,0,0,12,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,50.0,1,0,0,0.83890176,致命
899,120.673281,24.1521,0,0,1,0,10,0,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,50.0,1,1,1,0.5845586,需人工確認
6907,120.713448,24.160702,11,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,50.0,1,0,0,0.38137302,需人工確認
5475,120.562327,24.264368,8,1,0,0,10,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,50.0,1,0,0,0.7772248,致命
1708,120.647529,24.149538,12,0,0,0,12,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,50.0,1,0,0,0.43382102,需人工確認
8364,120.664395,24.225959,8,1,0,0,10,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,30.0,1,1,1,0.66355807,需人工確認
