y_true,y_prob,prediction
0,0.5420027284208413,需人工確認
0,0.48528432225109375,需人工確認
1,0.5139425776231058,需人工確認
0,0.4590528318438946,需人工確認
1,0.5201760794021132,需人工確認
0,0.5011486551686944,需人工確認
1,0.5515794374444972,需人工確認
0,0.43475237027223934,需人工確認
1,0.5280295624391619,需人工確認
1,0.42277275818252424,需人工確認
0,0.508542009555712,需人工確認
1,0.44438822010608187,需人工確認
0,0.4365547584294905,需人工確認
1,0.44885409953097327,需人工確認
1,0.40229221469577964,需人工確認
0,0.4634453794805334,需人工確認
0,0.5819417082995371,需人工確認
0,0.478413897109424,需人工確認
1,0.6246575357663221,需人工確認
0,0.5186448672092698,需人工確認
0,0.47900906143958966,需人工確認
0,0.4840782546666026,需人工確認
1,0.5214094614200788,需人工確認
0,0.4478446143222938,需人工確認
0,0.5563711165871926,需人工確認
1,0.5584075532535889,需人工確認
1,0.36682858277889735,需人工確認
0,0.4946590957487303,需人工確認
1,0.4925296777047319,需人工確認
0,0.43240348200268214,需人工確認
1,0.6035418990003085,需人工確認
0,0.5296046675231825,需人工確認
1,0.5724789623701338,需人工確認
1,0.5230905112353922,需人工確認
0,0.5304393532936889,需人工確認
1,0.4977935145120772,需人工確認
1,0.5131329050004032,需人工確認
1,0.49363672633899197,需人工確認
1,0.5084773005438292,需人工確認
1,0.48427005696463243,需人工確認
1,0.5663687830594869,需人工確認
0,0.5547609852265535,需人工確認
1,0.6611284945064807,需人工確認
1,0.4674706932373185,需人工確認
1,0.6240837389030695,需人工確認
1,0.4851278638548775,需人工確認
1,0.45617640643060636,需人工確認
0,0.5959812008995773,需人工確認
1,0.5104633777306661,需人工確認
0,0.433901349449376,需人工確認
0,0.4470040877588844,需人工確認
1,0.49850943260190533,需人工確認
1,0.43713249630421175,需人工確認
1,0.5081129842190703,需人工確認
0,0.49348605063958884,需人工確認
0,0.47382233653967953,需人工確認
1,0.5034404513921622,需人工確認
1,0.4194156478963708,需人工確認
1,0.4794372042543294,需人工確認
0,0.7585058427913903,致命
1,0.5051296135692102,需人工確認
0,0.4903937046342237,需人工確認
1,0.5559542435304637,需人工確認
0,0.4152747586106275,需人工確認
1,0.4996545252641292,需人工確認
1,0.556836679998181,需人工確認
1,0.5393884965363588,需人工確認
1,0.4451571240020308,需人工確認
0,0.4822098719181507,需人工確認
1,0.5053036392472237,需人工確認
0,0.48295712955830766,需人工確認
1,0.48340765500575944,需人工確認
0,0.6522137994071047,需人工確認
1,0.41637339841647053,需人工確認
1,0.5382362233855587,需人工確認
1,0.48102550519315096,需人工確認
1,0.6261952587749627,需人工確認
0,0.4336297059662501,需人工確認
0,0.5384309893239307,需人工確認
0,0.4295343790937076,需人工確認
1,0.4562324883016284,需人工確認
1,0.44423273265761126,需人工確認
0,0.5153272431924429,需人工確認
0,0.46891207067895074,需人工確認
0,0.5000011862401251,需人工確認
1,0.41839639532646894,需人工確認
0,0.4555956114472859,需人工確認
1,0.5603417072895616,需人工確認
1,0.4916065960844281,需人工確認
0,0.45647266337179077,需人工確認
1,0.5684981816717407,需人工確認
0,0.47358001517451753,需人工確認
1,0.5441791716567594,需人工確認
0,0.5211242518901893,需人工確認
1,0.5438552370696074,需人工確認
1,0.5265616378464251,需人工確認
0,0.44552933152031754,需人工確認
1,0.5463455186944592,需人工確認
0,0.5914442933008963,需人工確認
1,0.4367008350962229,需人工確認
1,0.45913809493512064,需人工確認
0,0.3754261178047954,需人工確認
0,0.5681451368655631,需人工確認
0,0.4537646748518329,需人工確認
0,0.5201209060508205,需人工確認
1,0.6770625862373051,需人工確認
0,0.5178262078583509,需人工確認
1,0.5847790458095862,需人工確認
1,0.5293263244022381,需人工確認
1,0.41757828794156143,需人工確認
0,0.4777436689148866,需人工確認
0,0.5894898421934132,需人工確認
1,0.5358836905682153,需人工確認
0,0.5850172039848113,需人工確認
0,0.4518915441940201,需人工確認
1,0.45945042902665373,需人工確認
0,0.47205594746531787,需人工確認
0,0.4808001466905161,需人工確認
0,0.38496002825280756,需人工確認
1,0.49406521091783334,需人工確認
0,0.3793073709900059,需人工確認
0,0.5148334457322289,需人工確認
1,0.38151613310909016,需人工確認
0,0.5745506567911377,需人工確認
1,0.5131131342836426,需人工確認
1,0.38608341887688086,需人工確認
0,0.4088360930799772,需人工確認
0,0.4063025308047742,需人工確認
0,0.32740048530356625,需人工確認
1,0.5070747398627733,需人工確認
1,0.5454781603161689,需人工確認
0,0.562622817027882,需人工確認
0,0.4372512198989314,需人工確認
0,0.46684087814878567,需人工確認
0,0.5384968800083408,需人工確認
0,0.4764558108674259,需人工確認
0,0.41024466333412624,需人工確認
0,0.46091635547459625,需人工確認
1,0.42471597800449756,需人工確認
1,0.5183065072100712,需人工確認
0,0.5119914097256442,需人工確認
1,0.4664741145454749,需人工確認
1,0.5754778552229884,需人工確認
0,0.43980777913641544,需人工確認
1,0.4834417825855277,需人工確認
0,0.5206062684728983,需人工確認
1,0.5128059595739516,需人工確認
1,0.5899035092969881,需人工確認
0,0.40423989153666834,需人工確認
1,0.5112649486839814,需人工確認
1,0.45621617712465984,需人工確認
1,0.5538680532534749,需人工確認
0,0.47482500304615066,需人工確認
1,0.4782504683972565,需人工確認
1,0.48604652713085567,需人工確認
0,0.5998346879772357,需人工確認
0,0.49955538935799315,需人工確認
1,0.4403442125539056,需人工確認
1,0.6047529321228129,需人工確認
0,0.42136375399586884,需人工確認
0,0.5451104112856227,需人工確認
1,0.5326922326228862,需人工確認
1,0.41302257370216183,需人工確認
1,0.542508032878945,需人工確認
0,0.4593383551285535,需人工確認
1,0.4536527203392591,需人工確認
1,0.511542676281554,需人工確認
1,0.7034606453285734,致命
0,0.5063233674084567,需人工確認
1,0.49157103285142084,需人工確認
1,0.5769674639711829,需人工確認
1,0.6007608391638221,需人工確認
1,0.5743874687048732,需人工確認
0,0.46526530105057934,需人工確認
1,0.4841688854229662,需人工確認
1,0.653049368214373,需人工確認
1,0.5129566841866217,需人工確認
0,0.5536569559380617,需人工確認
1,0.6439705499083213,需人工確認
0,0.42722254171166146,需人工確認
0,0.49572902925747553,需人工確認
0,0.4271254295226595,需人工確認
0,0.5173242791914109,需人工確認
0,0.584076146889833,需人工確認
1,0.36738645063063213,需人工確認
1,0.6795566696414221,需人工確認
1,0.44565731561641997,需人工確認
1,0.6215543155365495,需人工確認
1,0.48031709828362984,需人工確認
1,0.4120407129030925,需人工確認
1,0.4803963309189628,需人工確認
1,0.523444467153939,需人工確認
1,0.5088255159884242,需人工確認
1,0.5069617083059014,需人工確認
0,0.5077792706477218,需人工確認
0,0.4291761491420379,需人工確認
1,0.482620502136579,需人工確認
0,0.5475687289760135,需人工確認
0,0.4357891019264407,需人工確認
1,0.4108725390539411,需人工確認
1,0.6353400452256367,需人工確認
1,0.5011032826533741,需人工確認
0,0.6033028097909056,需人工確認
0,0.42231988953833133,需人工確認
0,0.48758832679617486,需人工確認
0,0.47339999855142534,需人工確認
1,0.5031101738599945,需人工確認
1,0.6175953963437755,需人工確認
0,0.46518926297876706,需人工確認
0,0.43360240296620134,需人工確認
1,0.5669176678855427,需人工確認
1,0.4887191051371538,需人工確認
0,0.6294391003343103,需人工確認
1,0.4733246054010056,需人工確認
1,0.45746976008806356,需人工確認
1,0.6167799053707512,需人工確認
0,0.402401435782524,需人工確認
0,0.4972301793569247,需人工確認
1,0.5148784334869358,需人工確認
0,0.4757594170525064,需人工確認
1,0.6103112825419313,需人工確認
0,0.49524713387011604,需人工確認
1,0.45928173942924944,需人工確認
0,0.4955343836700548,需人工確認
0,0.530978018888801,需人工確認
0,0.47568804540561344,需人工確認
1,0.5237032101162493,需人工確認
1,0.46587004362079326,需人工確認
0,0.44286622155540817,需人工確認
1,0.44277243751213263,需人工確認
0,0.3930467737519019,需人工確認
1,0.5253265819983565,需人工確認
0,0.6639404392801481,需人工確認
1,0.574652201172966,需人工確認
1,0.4995576214260989,需人工確認
0,0.482772726869447,需人工確認
1,0.476792851567146,需人工確認
0,0.44239600052120304,需人工確認
0,0.4647696308060877,需人工確認
0,0.5636813773261105,需人工確認
1,0.4462887044121376,需人工確認
1,0.49630655497937864,需人工確認
0,0.4544727444452488,需人工確認
0,0.42653242295292076,需人工確認
1,0.49923685483329416,需人工確認
0,0.5118131179213544,需人工確認
1,0.6192801951113328,需人工確認
0,0.5128062872994329,需人工確認
0,0.4321597862727115,需人工確認
1,0.5630259137312522,需人工確認
1,0.4400538551331253,需人工確認
1,0.5727787590802587,需人工確認
0,0.47682551053018013,需人工確認
0,0.4245159151253075,需人工確認
1,0.463925602655164,需人工確認
0,0.404247357174935,需人工確認
1,0.6049639829801292,需人工確認
0,0.512008164635475,需人工確認
1,0.607187424480656,需人工確認
0,0.44132379309808234,需人工確認
1,0.4864087608512445,需人工確認
1,0.6520078028345893,需人工確認
1,0.46641372453357366,需人工確認
1,0.42468209580853034,需人工確認
1,0.4533784076392783,需人工確認
0,0.5986165689250262,需人工確認
0,0.49704678078229875,需人工確認
1,0.484530778038297,需人工確認
1,0.4958165305747917,需人工確認
1,0.40896864812616324,需人工確認
1,0.5451876699685273,需人工確認
1,0.4345425891085143,需人工確認
0,0.5859294002701317,需人工確認
0,0.4472069362285845,需人工確認
1,0.4396459532263534,需人工確認
1,0.5503041009482512,需人工確認
0,0.4394565009927135,需人工確認
0,0.49147389483012055,需人工確認
1,0.5463310113348837,需人工確認
1,0.36619036057582277,需人工確認
1,0.5722023790621205,需人工確認
1,0.5763728134000601,需人工確認
1,0.5273946301662552,需人工確認
0,0.44131242003449284,需人工確認
1,0.5503884370380109,需人工確認
1,0.5203162296922308,需人工確認
0,0.5799544142846028,需人工確認
0,0.42600567954465457,需人工確認
1,0.482978429988398,需人工確認
0,0.4392672864702957,需人工確認
0,0.46508664469649685,需人工確認
0,0.39630296226451545,需人工確認
1,0.4511786566246736,需人工確認
1,0.5049367183238163,需人工確認
0,0.51353101271145,需人工確認
1,0.4577005918634115,需人工確認
1,0.5595282633263887,需人工確認
0,0.4645725881058454,需人工確認
1,0.5487855947301122,需人工確認
1,0.5490579136453754,需人工確認
0,0.47131115388303146,需人工確認
1,0.4531454156295091,需人工確認
0,0.5354006657205268,需人工確認
1,0.44004662938435424,需人工確認
1,0.6685359442075912,需人工確認
1,0.5272221992566634,需人工確認
0,0.5282923408260768,需人工確認
0,0.4744290796236421,需人工確認
0,0.4497225203951529,需人工確認
0,0.5205487818408157,需人工確認
0,0.5514175407857427,需人工確認
1,0.5387825738351272,需人工確認
0,0.5514706839894798,需人工確認
1,0.46108974090676774,需人工確認
1,0.4177997211749966,需人工確認
0,0.5154518224581865,需人工確認
1,0.5519110101127812,需人工確認
1,0.5471147837379657,需人工確認
0,0.5753723428254671,需人工確認
1,0.44131612748186144,需人工確認
0,0.43134685960993185,需人工確認
0,0.5505754403346079,需人工確認
1,0.41416211002985504,需人工確認
1,0.4294580813587418,需人工確認
1,0.6128131324651055,需人工確認
1,0.5230883650465133,需人工確認
1,0.5817873062901412,需人工確認
1,0.5384852594037793,需人工確認
0,0.5044915295570492,需人工確認
0,0.4694888646771618,需人工確認
1,0.45269382184051987,需人工確認
1,0.5333608587939764,需人工確認
0,0.6256620728938557,需人工確認
0,0.45956482962645073,需人工確認
